,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
38,in the open,3.0,3.0,2008-10-21,4.0196458852760904e-07,4.027621968476072e-07,2487781.3333333335,2482854.6666666665,301166.0,299865.0
39,in the open,9.0,9.0,2008-10-22,1.2072250001810837e-06,1.2100171674546792e-06,828346.0,826434.5555555555,56147.0,55978.0
40,in the open,11.0,11.0,2008-10-24,1.4861555156365175e-06,1.4893928151690597e-06,672877.090909091,671414.5454545454,41674.0,41555.0
41,in the open,12.0,12.0,2008-10-25,1.687653101779827e-06,1.6909765685604337e-06,592538.8333333334,591374.25,36881.0,36783.0
42,in the open,15.0,15.0,2008-10-27,2.0307270666269365e-06,2.0357670702461785e-06,492434.4666666667,491215.3333333333,28044.5,27951.5
43,in the open,7.0,7.0,2008-10-28,9.384802090612141e-07,9.409694889298972e-07,1065552.5714285714,1062733.7142857143,76677.0,76420.5
44,in the open,6.0,6.0,2008-10-29,8.010224250232997e-07,8.030261236443413e-07,1248404.5,1245289.5,95024.5,94696.0
45,in the open,10.0,10.0,2008-10-30,1.359098950014515e-06,1.3625619216265284e-06,735781.6000000001,733911.6,46472.5,46324.0
46,in the open,8.0,8.0,2008-10-31,1.085529109955686e-06,1.0878167246382329e-06,921209.75,919272.5000000001,64368.0,64183.5
47,in the open,4.0,4.0,2008-11-01,5.456910529177079e-07,5.463799392234274e-07,1832538.7499999995,1830228.25,176883.5,176448.0
48,in the open,7.0,7.0,2008-11-02,9.62673040479026e-07,9.643517723821224e-07,1038774.2857142857,1036966.0000000001,78460.0,78239.5
49,in the open,12.0,12.0,2008-11-03,1.5712330277372388e-06,1.5752527788443555e-06,636442.8333333333,634818.7499999999,39528.0,39395.0
50,in the open,6.0,6.0,2008-11-04,7.417172435413735e-07,7.442526946289021e-07,1348222.6666666667,1343629.6666666665,111928.5,111404.5
51,in the open,7.0,7.0,2008-11-05,8.961884720204197e-07,8.988312753735255e-07,1115836.7142857143,1112555.857142857,87339.0,86937.5
52,in the open,8.0,8.0,2008-11-06,1.1043790007854895e-06,1.1078989734623574e-06,905486.2500000001,902609.375,61624.0,61301.0
53,in the open,5.0,5.0,2008-11-07,6.753941093476571e-07,6.77317988739453e-07,1480617.0,1476411.4,121812.5,121207.5
54,in the open,14.0,14.0,2008-11-08,1.973583305515207e-06,1.977093116707948e-06,506692.5714285714,505793.07142857136,29444.5,29348.5
55,in the open,8.0,8.0,2008-11-09,1.1529997522491782e-06,1.155418189170843e-06,867302.875,865487.5,61669.5,61433.5
56,in the open,7.0,7.0,2008-11-10,9.423359080193995e-07,9.451253472491787e-07,1061192.7142857146,1058060.7142857146,77157.5,76800.0
57,in the open,7.0,7.0,2008-11-11,9.458951999467056e-07,9.492266785853376e-07,1057199.5714285714,1053489.142857143,74709.0,74304.0
58,in the open,8.0,8.0,2008-11-12,9.770006714437116e-07,9.810392099298828e-07,1023540.7499999999,1019327.2499999999,35857.5,35615.5
59,in the open,9.0,9.0,2008-11-14,1.2054370030585954e-06,1.2092606795185102e-06,829574.6666666667,826951.5555555555,54720.0,54462.0
60,in the open,3.0,3.0,2008-11-15,4.1689763953946146e-07,4.1767558524703006e-07,2398670.3333333335,2394202.6666666665,293721.0,292370.5
61,in the open,6.0,6.0,2008-11-16,8.65947189633342e-07,8.680976291530332e-07,1154804.8333333335,1151944.1666666667,97618.0,97196.0
62,in the open,6.0,6.0,2008-11-18,8.945178578563416e-07,8.977966275167484e-07,1117920.6666666667,1113838.0,89237.0,88684.0
63,in the open,6.0,5.0,2008-11-19,8.236524428295974e-07,6.888001102080176e-07,1214104.3333333335,1451800.0,92018.5,117957.0
